t,sev11,sev12.5,sev14,sev15.5,sev17,sev18,sev19,sev20,sev20.5,sev21,sev21.5,sev22
22/05/2020,8.79216,10.1888,11.41086,12.8075,14.02956,14.90246,15.77536,16.64826,17.172,17.52116,18.0449,18.39406
23/05/2020,8.86306,10.2637,11.48926,12.8899,14.11546,14.99086,15.86626,16.74166,17.2669,17.61706,18.1423,18.49246
24/05/2020,8.95111,10.34895,11.57206,12.9699,14.19301,15.06666,15.94031,16.81396,17.33815,17.68761,18.2118,18.56126
25/05/2020,9.03455,10.43015,11.6513,13.0469,14.26805,15.1403,16.01255,16.8848,17.40815,17.75705,18.2804,18.6293
26/05/2020,9.11406,10.5075,11.72676,13.1202,14.33946,15.21036,16.08126,16.95216,17.4747,17.82306,18.3456,18.69396
27/05/2020,9.18708,10.5794,11.79768,13.19,14.40828,15.27848,16.14868,17.01888,17.541,17.88908,18.4112,18.75928
28/05/2020,9.25447,10.64655,11.86462,13.2567,14.47477,15.34482,16.21487,17.08492,17.60695,17.95497,18.477,18.82502
29/05/2020,9.3236,10.714,11.9306,13.321,14.5376,15.4066,16.2756,17.1446,17.666,18.0136,18.535,18.8826
30/05/2020,9.39809,10.78425,11.99714,13.3833,14.59619,15.46254,16.32889,17.19524,17.71505,18.06159,18.5814,18.92794
31/05/2020,9.46669,10.85045,12.06124,13.445,14.65579,15.52064,16.38549,17.25034,17.76925,18.11519,18.6341,18.98004
1/06/2020,9.53691,10.91795,12.12636,13.5074,14.71581,15.57896,16.44211,17.30526,17.82315,18.16841,18.6863,19.03156
2/06/2020,9.59805,10.98005,12.1893,13.5713,14.78055,15.6443,16.50805,17.3718,17.89005,18.23555,18.7538,19.0993
3/06/2020,9.66026,11.0433,12.25346,13.6365,14.84666,15.71106,16.57546,17.43986,17.9585,18.30426,18.8229,19.16866
4/06/2020,9.71069,11.09925,12.31424,13.7028,14.91779,15.78564,16.65349,17.52134,18.04205,18.38919,18.9099,19.25704
5/06/2020,9.7612,11.1556,12.3757,13.7701,14.9902,15.8617,16.7332,17.6047,18.1276,18.4762,18.9991,19.3477
6/06/2020,9.80532,11.2082,12.43572,13.8386,15.06612,15.94292,16.81972,17.69652,18.2226,18.57332,19.0994,19.45012
7/06/2020,9.85912,11.2676,12.50002,13.9085,15.14092,16.02122,16.90152,17.78182,18.31,18.66212,19.1903,19.54242
8/06/2020,9.91498,11.3289,12.56608,13.98,15.21718,16.10088,16.98458,17.86828,18.3985,18.75198,19.2822,19.63568
9/06/2020,9.96758,11.3887,12.63218,14.0533,15.29678,16.18498,17.07318,17.96138,18.4943,18.84958,19.3825,19.73778
10/06/2020,10.0246,11.4518,12.7006,14.1278,15.3766,16.2686,17.1606,18.0526,18.5878,18.9446,19.4798,19.8366
11/06/2020,10.08713,11.51825,12.77048,14.2016,15.45383,16.34828,17.24273,18.13718,18.67385,19.03163,19.5683,19.92608
12/06/2020,10.15137,11.58505,12.83952,14.2732,15.52767,16.42372,17.31977,18.21582,18.75345,19.11187,19.6495,20.00792
13/06/2020,10.21209,11.64865,12.90564,14.3422,15.59919,16.49704,17.39489,18.29274,18.83145,19.19059,19.7293,20.08844
14/06/2020,10.26502,11.7063,12.96742,14.4087,15.66982,16.57062,17.47142,18.37222,18.9127,19.27302,19.8135,20.17382
15/06/2020,10.3118,11.759,13.0253,14.4725,15.7388,16.6433,17.5478,18.4523,18.995,19.3568,19.8995,20.2613
16/06/2020,10.35714,11.8101,13.08144,14.5344,15.80574,16.71384,17.62194,18.53004,19.0749,19.43814,19.983,20.34624
17/06/2020,10.40111,11.85975,13.13606,14.5947,15.87101,16.78266,17.69431,18.60596,19.15295,19.51761,20.0646,20.42926
18/06/2020,10.45314,11.9141,13.19244,14.6534,15.93174,16.84484,17.75794,18.67104,19.2189,19.58414,20.132,20.49724
19/06/2020,10.50649,11.96865,13.24804,14.7102,15.98959,16.90344,17.81729,18.73114,19.27945,19.64499,20.1933,20.55884
20/06/2020,10.55672,12.0204,13.30112,14.7648,16.04552,16.96032,17.87512,18.78992,19.3388,19.70472,20.2536,20.61952
21/06/2020,10.60099,12.06795,13.35154,14.8185,16.10209,17.01894,17.93579,18.85264,19.40275,19.76949,20.3196,20.68634
22/06/2020,10.64211,12.11355,13.40106,14.8725,16.16001,17.07966,17.99931,18.91896,19.47075,19.83861,20.3904,20.75826
23/06/2020,10.67374,12.1531,13.44754,14.9269,16.22134,17.14594,18.07054,18.99514,19.5499,19.91974,20.4745,20.84434
24/06/2020,10.7016,12.1904,13.4931,14.9819,16.2846,17.2151,18.1456,19.0761,19.6344,20.0066,20.5649,20.9371
25/06/2020,10.72737,12.22665,13.53852,15.0378,16.34967,17.28672,18.22377,19.16082,19.72305,20.09787,20.6601,21.03492
26/06/2020,10.75471,12.26455,13.58566,15.0955,16.41661,17.36026,18.30391,19.24756,19.81375,20.19121,20.7574,21.13486
27/06/2020,10.77684,12.2994,13.63164,15.1542,16.48644,17.43804,18.38964,19.34124,19.9122,20.29284,20.8638,21.24444
28/06/2020,10.79852,12.3342,13.67792,15.2136,16.55732,17.51712,18.47692,19.43672,20.0126,20.39652,20.9724,21.35632
29/06/2020,10.8203,12.3691,13.7243,15.2731,16.6283,17.5963,18.5643,19.5323,20.1131,20.5003,21.0811,21.4683
30/06/2020,10.83272,12.398,13.76762,15.3329,16.70252,17.68082,18.65912,19.63742,20.2244,20.61572,21.2027,21.59402
1/07/2020,10.84615,12.42735,13.8109,15.3921,16.77565,17.7639,18.75215,19.7404,20.33335,20.72865,21.3216,21.7169
2/07/2020,10.85583,12.45335,13.85118,15.4487,16.84653,17.84498,18.84343,19.84188,20.44095,20.84033,21.4394,21.83878
