t,sev11,sev12.5,sev14,sev15.5,sev17,sev18,sev19,sev20,sev20.5,sev21,sev21.5,sev22
22/05/2020,8.2863,9.77284,11.39452,13.0162,14.63788,15.719,16.80012,17.88124,18.4218,18.96236,19.50292,20.04348
23/05/2020,8.3582,9.8388,11.454,13.0692,14.6844,15.7612,16.838,17.9148,18.4532,18.9916,19.53,20.0684
24/05/2020,8.43075,9.9053,11.5139,13.1225,14.7311,15.8035,16.8759,17.9483,18.4845,19.0207,19.5569,20.0931
25/05/2020,8.4993,9.97088,11.57624,13.1816,14.78696,15.8572,16.92744,17.99768,18.5328,19.06792,19.60304,20.13816
26/05/2020,8.5674,10.03656,11.63928,13.242,14.84472,15.9132,16.98168,18.05016,18.5844,19.11864,19.65288,20.18712
27/05/2020,8.6373,10.10294,11.70182,13.3007,14.89958,15.9655,17.03142,18.09734,18.6303,19.16326,19.69622,20.22918
28/05/2020,8.70685,10.1693,11.7647,13.3601,14.9555,16.0191,17.0827,18.1463,18.6781,19.2099,19.7417,20.2735
29/05/2020,8.77355,10.2349,11.8291,13.4233,15.0175,16.0803,17.1431,18.2059,18.7373,19.2687,19.8001,20.3315
30/05/2020,8.84415,10.30198,11.89234,13.4827,15.07306,16.1333,17.19354,18.25378,18.7839,19.31402,19.84414,20.37426
31/05/2020,8.9154,10.36938,11.95554,13.5417,15.12786,16.1853,17.24274,18.30018,18.8289,19.35762,19.88634,20.41506
1/06/2020,8.98655,10.4369,12.0191,13.6013,15.1835,16.2383,17.2931,18.3479,18.8753,19.4027,19.9301,20.4575
2/06/2020,9.0604,10.50536,12.08168,13.658,15.23432,16.2852,17.33608,18.38696,18.9124,19.43784,19.96328,20.48872
3/06/2020,9.1298,10.57256,12.14648,13.7204,15.29432,16.3436,17.39288,18.44216,18.9668,19.49144,20.01608,20.54072
4/06/2020,9.1994,10.64018,12.21194,13.7837,15.35546,16.4033,17.45114,18.49898,19.0229,19.54682,20.07074,20.59466
5/06/2020,9.2719,10.70916,12.27708,13.845,15.41292,16.4582,17.50348,18.54876,19.0714,19.59404,20.11668,20.63932
6/06/2020,9.35105,10.78072,12.34036,13.9,15.45964,16.4994,17.53916,18.57892,19.0988,19.61868,20.13856,20.65844
7/06/2020,9.426,10.8516,12.4068,13.962,15.5172,16.554,17.5908,18.6276,19.146,19.6644,20.1828,20.7012
8/06/2020,9.5036,10.92348,12.47244,14.0214,15.57036,16.603,17.63564,18.66828,19.1846,19.70092,20.21724,20.73356
9/06/2020,9.5769,10.99392,12.53976,14.0856,15.63144,16.662,17.69256,18.72312,19.2384,19.75368,20.26896,20.78424
10/06/2020,9.64955,11.06316,12.60528,14.1474,15.68952,16.7176,17.74568,18.77376,19.2878,19.80184,20.31588,20.82992
11/06/2020,9.71835,11.1302,12.6704,14.2106,15.7508,16.7776,17.8044,18.8312,19.3446,19.858,20.3714,20.8848
12/06/2020,9.78275,11.19504,12.73572,14.2764,15.81708,16.8442,17.87132,18.89844,19.412,19.92556,20.43912,20.95268
13/06/2020,9.84795,11.25892,12.79816,14.3374,15.87664,16.9028,17.92896,18.95512,19.4682,19.98128,20.49436,21.00744
14/06/2020,9.9118,11.32112,12.85856,14.396,15.93344,16.9584,17.98336,19.00832,19.5208,20.03328,20.54576,21.05824
15/06/2020,9.9704,11.38038,12.91854,14.4567,15.99486,17.0203,18.04574,19.07118,19.5839,20.09662,20.60934,21.12206
16/06/2020,10.03675,11.44024,12.97132,14.5024,16.03348,17.0542,18.07492,19.09564,19.606,20.11636,20.62672,21.13708
17/06/2020,10.0998,11.4979,13.0231,14.5483,16.0735,17.0903,18.1071,19.1239,19.6323,20.1407,20.6491,21.1575
18/06/2020,10.158,11.55346,13.07578,14.5981,16.12042,17.1353,18.15018,19.16506,19.6725,20.17994,20.68738,21.19482
19/06/2020,10.21205,11.6074,13.1296,14.6518,16.174,17.1888,18.2036,19.2184,19.7258,20.2332,20.7406,21.248
20/06/2020,10.2654,11.66086,13.18318,14.7055,16.22782,17.2427,18.25758,19.27246,19.7799,20.28734,20.79478,21.30222
21/06/2020,10.3195,11.71496,13.23728,14.7596,16.28192,17.2968,18.31168,19.32656,19.834,20.34144,20.84888,21.35632
22/06/2020,10.37355,11.76934,13.29202,14.8147,16.33738,17.3525,18.36762,19.38274,19.8903,20.39786,20.90542,21.41298
23/06/2020,10.4299,11.82448,13.34584,14.8672,16.38856,17.4028,18.41704,19.43128,19.9384,20.44552,20.95264,21.45976
24/06/2020,10.4874,11.88022,13.39966,14.9191,16.43854,17.4515,18.46446,19.47742,19.9839,20.49038,20.99686,21.50334
25/06/2020,10.54585,11.93636,13.45328,14.9702,16.48712,17.4984,18.50968,19.52096,20.0266,20.53224,21.03788,21.54352
26/06/2020,10.60275,11.99216,13.50788,15.0236,16.53932,17.5498,18.56028,19.57076,20.076,20.58124,21.08648,21.59172
27/06/2020,10.6543,12.04646,13.56518,15.0839,16.60262,17.6151,18.62758,19.64006,20.1463,20.65254,21.15878,21.66502
28/06/2020,10.70635,12.1006,13.6216,15.1426,16.6636,17.6776,18.6916,19.7056,20.2126,20.7196,21.2266,21.7336
29/06/2020,10.75935,12.15448,13.67644,15.1984,16.72036,17.735,18.74964,19.76428,20.2716,20.77892,21.28624,21.79356
30/06/2020,10.81165,12.20744,13.73012,15.2528,16.77548,17.7906,18.80572,19.82084,20.3284,20.83596,21.34352,21.85108
1/07/2020,10.8627,12.2597,13.7837,15.3077,16.8317,17.8477,18.8637,19.8797,20.3877,20.8957,21.4037,21.9117
2/07/2020,10.914,12.311,13.835,15.359,16.883,17.899,18.915,19.931,20.439,20.947,21.455,21.963
3/07/2020,10.96375,12.36042,13.88406,15.4077,16.93134,17.9471,18.96286,19.97862,20.4865,20.99438,21.50226,22.01014
4/07/2020,11.01515,12.40874,13.92902,15.4493,16.96958,17.9831,18.99662,20.01014,20.5169,21.02366,21.53042,22.03718
5/07/2020,11.06075,12.45412,13.97416,15.4942,17.01424,18.0276,19.04096,20.05432,20.561,21.06768,21.57436,22.08104
6/07/2020,11.09965,12.4961,14.0195,15.5429,17.0663,18.0819,19.0975,20.1131,20.6209,21.1287,21.6365,22.1443
7/07/2020,11.13695,12.53626,14.06278,15.5893,17.11582,18.1335,19.15118,20.16886,20.6777,21.18654,21.69538,22.20422
8/07/2020,11.1779,12.57622,14.10166,15.6271,17.15254,18.1695,19.18646,20.20342,20.7119,21.22038,21.72886,22.23734
9/07/2020,11.21805,12.61516,14.13928,15.6634,17.18752,18.2036,19.21968,20.23576,20.7438,21.25184,21.75988,22.26792
10/07/2020,11.25975,12.65356,14.17408,15.6946,17.21512,18.2288,19.24248,20.25616,20.763,21.26984,21.77668,22.28352
11/07/2020,11.30005,12.69078,14.20794,15.7251,17.24226,18.2537,19.26514,20.27658,20.7823,21.28802,21.79374,22.29946
12/07/2020,11.3374,12.72604,14.24092,15.7558,17.27068,18.2806,19.29052,20.30044,20.8054,21.31036,21.81532,22.32028
13/07/2020,11.37595,12.76096,14.27188,15.7828,17.29372,18.301,19.30828,20.31556,20.8192,21.32284,21.82648,22.33012
14/07/2020,11.4137,12.79574,14.30342,15.8111,17.31878,18.3239,19.32902,20.33414,20.8367,21.33926,21.84182,22.34438
15/07/2020,11.4505,12.83078,14.33654,15.8423,17.34806,18.3519,19.35574,20.35958,20.8615,21.36342,21.86534,22.36726
16/07/2020,11.49015,12.86702,14.36906,15.8711,17.37314,18.3745,19.37586,20.37722,20.8779,21.37858,21.87926,22.37994
17/07/2020,11.5259,12.9031,14.4055,15.9079,17.4103,18.4119,19.4135,20.4151,20.9159,21.4167,21.9175,22.4183
18/07/2020,11.56285,12.94038,14.44314,15.9459,17.44866,18.4505,19.45234,20.45418,20.9551,21.45602,21.95694,22.45786
19/07/2020,11.60165,12.9783,14.4801,15.9819,17.4837,18.4849,19.4861,20.4873,20.9879,21.4885,21.9891,22.4897
20/07/2020,11.6397,13.0158,14.517,16.0182,17.5194,18.5202,19.521,20.5218,21.0222,21.5226,22.023,22.5234
21/07/2020,11.6768,13.05246,14.55318,16.0539,17.55462,18.5551,19.55558,20.55606,21.0563,21.55654,22.05678,22.55702
22/07/2020,11.71095,13.08738,14.58894,16.0905,17.59206,18.5931,19.59414,20.59518,21.0957,21.59622,22.09674,22.59726
23/07/2020,11.73875,13.1198,14.6264,16.133,17.6396,18.644,19.6484,20.6528,21.155,21.6572,22.1594,22.6616
24/07/2020,11.76185,13.14994,14.66422,16.1785,17.69278,18.7023,19.71182,20.72134,21.2261,21.73086,22.23562,22.74038
25/07/2020,11.7817,13.17804,14.70132,16.2246,17.74788,18.7634,19.77892,20.79444,21.3022,21.80996,22.31772,22.82548
26/07/2020,11.7996,13.20408,14.73624,16.2684,17.80056,18.822,19.84344,20.86488,21.3756,21.88632,22.39704,22.90776
27/07/2020,11.815,13.22762,14.76866,16.3097,17.85074,18.8781,19.90546,20.93282,21.4465,21.96018,22.47386,22.98754
28/07/2020,11.8299,13.2489,14.7969,16.3449,17.8929,18.9249,19.9569,20.9889,21.5049,22.0209,22.5369,23.0529
29/07/2020,11.8397,13.26684,14.82372,16.3806,17.93748,18.9754,20.01332,21.05124,21.5702,22.08916,22.60812,23.12708
30/07/2020,11.8472,13.28248,14.84824,16.414,17.97976,19.0236,20.06744,21.11128,21.6332,22.15512,22.67704,23.19896
31/07/2020,11.8535,13.29648,14.87064,16.4448,18.01896,19.0684,20.11784,21.16728,21.692,22.21672,22.74144,23.26616
