t,sev11_avg,sev12.5_avg,sev14_avg,sev15.5_avg,sev17_avg,sev18_avg,sev19_avg,sev20_avg,sev20.5_avg,sev21_avg,sev21.5_avg,sev22_avg
8/06/2020,9.70929,11.12619,12.51926,14.0007,15.39377,16.35194,17.31011,18.26828,18.79155,19.22645,19.74972,20.18462
9/06/2020,9.77224,11.19131,12.58597,14.06945,15.46411,16.42349,17.38287,18.34225,18.86635,19.30163,19.82573,20.26101
10/06/2020,9.837075,11.25748,12.65294,14.1376,15.53306,16.4931,17.45314,18.41318,18.9378,19.37322,19.89784,20.33326
11/06/2020,9.90274,11.324225,12.72044,14.2061,15.602315,16.56294,17.523565,18.48419,19.009225,19.444815,19.96985,20.40544
12/06/2020,9.96706,11.390045,12.78762,14.2748,15.672375,16.63396,17.595545,18.55713,19.082725,19.518715,20.04431,20.4803
13/06/2020,10.03002,11.453785,12.8519,14.3398,15.737915,16.69992,17.661925,18.62393,19.149825,19.585935,20.11183,20.54794
14/06/2020,10.08841,11.51371,12.91299,14.40235,15.80163,16.76451,17.72739,18.69027,19.21675,19.65315,20.17963,20.61603
15/06/2020,10.1411,11.56969,12.97192,14.4646,15.86683,16.8318,17.79677,18.76174,19.28945,19.72671,20.25442,20.69168
16/06/2020,10.196945,11.62517,13.02638,14.5184,15.91961,16.88402,17.84843,18.81284,19.34045,19.77725,20.30486,20.74166
17/06/2020,10.250455,11.678825,13.07958,14.5715,15.972255,16.93648,17.900705,18.86493,19.392625,19.829155,20.35685,20.79338
18/06/2020,10.30557,11.73378,13.13411,14.62575,16.02608,16.99007,17.95406,18.91805,19.4457,19.88204,20.40969,20.84603
19/06/2020,10.35927,11.788025,13.18882,14.681,16.081795,17.04612,18.010445,18.97477,19.502625,19.939095,20.46695,20.90342
20/06/2020,10.41106,11.84063,13.24215,14.73515,16.13667,17.10151,18.06635,19.03119,19.55935,19.99603,20.52419,20.96087
21/06/2020,10.460245,11.891455,13.29441,14.78905,16.192005,17.15787,18.123735,19.0896,19.618375,20.055465,20.58424,21.02133
22/06/2020,10.50783,11.941445,13.34654,14.8436,16.248695,17.21608,18.183465,19.15085,19.680525,20.118235,20.64791,21.08562
23/06/2020,10.55182,11.98879,13.39669,14.89705,16.30495,17.27437,18.24379,19.21321,19.74415,20.18263,20.71357,21.15205
24/06/2020,10.5945,12.03531,13.44638,14.9505,16.36157,17.3333,18.30503,19.27676,19.80915,20.24849,20.78088,21.22022
25/06/2020,10.63661,12.081505,13.4959,15.004,16.418395,17.39256,18.366725,19.34089,19.874825,20.315055,20.84899,21.28922
26/06/2020,10.67873,12.128355,13.54677,15.05955,16.477965,17.45503,18.432095,19.40916,19.944875,20.386225,20.92194,21.36329
27/06/2020,10.71557,12.17293,13.59841,15.11905,16.54453,17.52657,18.50861,19.49065,20.02925,20.47269,21.01129,21.45473
28/06/2020,10.752435,12.2174,13.64976,15.1781,16.61046,17.59736,18.58426,19.57116,20.1126,20.55806,21.0995,21.54496
29/06/2020,10.789825,12.26179,13.70037,15.23575,16.67433,17.66565,18.65697,19.64829,20.19235,20.63961,21.18367,21.63093
30/06/2020,10.822185,12.30272,13.74887,15.29285,16.739,17.73571,18.73242,19.72913,20.2764,20.72584,21.27311,21.72255
1/07/2020,10.854425,12.343525,13.7973,15.3499,16.803675,17.8058,18.807925,19.81005,20.360525,20.812175,21.36265,21.8143
2/07/2020,10.884915,12.382175,13.84309,15.40385,16.864765,17.87199,18.879215,19.88644,20.439975,20.893665,21.4472,21.90089
3/07/2020,10.918795,12.42201,13.8881,15.4548,16.92089,17.93182,18.94275,19.95368,20.50945,20.96461,21.52038,21.97554
4/07/2020,10.954845,12.46172,13.93068,15.5009,16.96986,17.98292,18.99598,20.00904,20.5662,21.0221,21.57926,22.03516
5/07/2020,10.99317,12.502935,13.9744,15.5475,17.018965,18.03382,19.048675,20.06353,20.621775,21.078385,21.63663,22.09324
6/07/2020,11.029065,12.54265,14.01779,15.59485,17.06999,18.08739,19.10479,20.12219,20.68185,21.13959,21.69925,22.15699
7/07/2020,11.06347,12.580605,14.05916,15.6399,17.118455,18.13822,19.157985,20.17775,20.738725,21.197515,21.75849,22.21728
8/07/2020,11.097305,12.616585,14.09691,15.67975,17.160075,18.18113,19.202185,20.22324,20.785025,21.244295,21.80608,22.26535
9/07/2020,11.133405,12.65348,14.13437,15.71795,17.19884,18.22033,19.24182,20.26331,20.8254,21.2848,21.84689,22.30629
10/07/2020,11.174965,12.69283,14.17143,15.75265,17.23125,18.25119,19.27113,20.29107,20.85235,21.31101,21.87229,22.33095
11/07/2020,11.214315,12.73024,14.20681,15.78595,17.26252,18.28109,19.29966,20.31823,20.8788,21.3368,21.89737,22.35537
12/07/2020,11.24976,12.76472,14.24022,15.8183,17.2938,18.31166,19.32952,20.34738,20.9076,21.36524,21.92546,22.3831
13/07/2020,11.283235,12.79718,14.2714,15.8483,17.32252,18.33956,19.3566,20.37364,20.9335,21.39068,21.95054,22.40772
14/07/2020,11.31552,12.82902,14.30253,15.87885,17.35236,18.36897,19.38558,20.40219,20.9619,21.4188,21.97851,22.43541
15/07/2020,11.34365,12.85859,14.33317,15.91085,17.38543,18.40285,19.42027,20.43769,20.99795,21.45511,22.01537,22.47253
16/07/2020,11.36647,12.884385,14.3612,15.9417,17.418515,18.43762,19.456725,20.47583,21.037225,21.494935,22.05633,22.51404
17/07/2020,11.37702,12.9033,14.38747,15.97635,17.46052,18.48487,19.50922,20.53357,21.0981,21.55792,22.12245,22.58227
18/07/2020,11.392675,12.92544,14.41532,16.0107,17.50058,18.529,19.55742,20.58584,21.1528,21.61426,22.18122,22.64268
19/07/2020,11.41014,12.948025,14.44229,16.04275,17.537015,18.56859,19.600165,20.63174,21.200625,21.663315,22.2322,22.69489
20/07/2020,11.42662,12.96955,14.46817,16.07365,17.57227,18.60697,19.64167,20.67637,21.24715,21.71107,22.28185,22.74577
21/07/2020,11.43939,12.98818,14.49188,16.1032,17.6069,18.64524,19.68358,20.72192,21.2949,21.76026,22.33324,22.7986
22/07/2020,11.449255,13.00459,14.5141,16.132,17.64151,18.68398,19.72645,20.76892,21.34435,21.81139,22.38682,22.85386
23/07/2020,11.454125,13.01825,14.53595,16.16285,17.68055,18.72875,19.77695,20.82515,21.40385,21.87335,22.45205,22.92155
24/07/2020,11.45616,13.030245,14.55742,16.1946,17.721775,18.77656,19.831345,20.88613,21.468525,21.940915,22.52331,22.9957
25/07/2020,11.457895,13.041945,14.57873,16.22625,17.763035,18.82447,19.885905,20.94734,21.533425,22.008775,22.59486,23.07021
26/07/2020,11.458135,13.052015,14.59828,16.256,17.802265,18.87026,19.938255,21.00625,21.595975,22.074245,22.66397,23.14224
27/07/2020,11.45346,13.05801,14.61449,16.28325,17.83973,18.91481,19.98989,21.06497,21.65865,22.14005,22.73373,23.21513
28/07/2020,11.449735,13.063275,14.62831,16.30635,17.871385,18.95241,20.033435,21.11446,21.711475,22.195485,22.7925,23.27651
29/07/2020,11.443155,13.066445,14.64089,16.32905,17.903495,18.99103,20.078565,21.1661,21.766725,22.253635,22.85426,23.34117
30/07/2020,11.433395,13.066915,14.65119,16.34995,17.934225,19.02857,20.122915,21.21726,21.821675,22.311605,22.91602,23.40595
31/07/2020,11.42542,13.06779,14.66064,16.3686,17.96145,19.06172,20.16199,21.26226,21.86995,22.36253,22.97022,23.4628
1/08/2020,11.414995,13.06588,14.66681,16.38355,17.98448,19.09037,20.19626,21.30215,21.913,22.40804,23.01889,23.51393
2/08/2020,11.40017,13.06103,14.67146,16.3985,18.00893,19.12142,20.23391,21.3464,21.96095,22.45889,23.07344,23.57138
